name,website,investor_count,funding_count,funding_last_type,funding_last_date,valuation_date,revenue_year,funding_total_numeric_millions,funding_last_numeric_millions,valuation_numeric_millions,revenue_total_numeric_millions
Ambler,https://ambler.fr,5,3,Merger,2023-06-27,,,8.48,13.0,,
Pintarnya,https://pintarnya.com,4,2,Seed VC - II,2022-07-19,,,14.3,8.0,,
Atavistik Bio,https://atavistikbio.com,3,2,Series B,2023-12-19,,,100.0,40.0,,
Grip Security,https://grip.security,12,5,Series B - II,2023-08-22,,,66.0,41.0,,
Aporia,https://aporia.com,10,4,Series A,2022-02-23,,,30.0,25.0,,
TaxBit,https://taxbit.com,26,10,Unattributed VC - III,2024-04-25,2021-08,,251.36,13.0,1500.0,
Freshpaint,https://freshpaint.io,8,8,Series B,2024-07-17,,,46.3,30.0,,
ICEYE,https://iceye.com,29,12,Series D - II,2024-04-17,,,393.73,93.0,,
Prisidio,https://prisid.io,3,2,Seed VC - II,2021-10-11,,,7.0,3.5,,
Opyn,https://opyn.co,14,4,Series A,2021-02-03,,,9.11,6.7,,
FlashFood,https://flashfood.com,13,6,Series A,2022-02-28,,,13.71,12.3,,
MiClient,https://miclient.ai,7,3,Seed VC - II,2024-08-12,,,0.46,0.46,,
FIRE1,https://fire1foundry.com,10,5,Series C - II,2023-03-15,,,90.63,25.0,,
Alba Robot,https://alba-robot.com,6,4,Seed VC,2023-07-19,,,3.07,2.94,,
Deepspin,https://deepspin.io,6,5,Biz Plan Competition,2021-09-28,,,0.97,0.05,,
QuadFi,https://quadfi.com,2,3,Line of Credit,2022-04-20,,,101.01,100.0,,
Zylo,https://zylo.com,17,7,Series C - II,2023-02-16,,,72.1,5.0,,
Smartling,https://smartling.com,13,7,Series E,2021-12-02,2014-05,,226.74,160.0,250.0,
Scoutbee,https://scoutbee.com,10,8,Incubator/Accelerator - II,2020-02-03,,,76.01,13.0,,
The Vets,https://thevets.com,3,1,Seed VC,2022-01-27,,,40.0,40.0,,
BigID,https://bigid.com,26,18,Series E,2024-02-23,,,306.1,60.0,,
Victor,https://flyvictor.com,5,6,Series B - II,2018-01-30,,2017,61.26,18.0,,39.8
Springboard,https://,1,5,Merger,2013-02-20,,,26.0,13.0,,
Built Robotics,https://builtrobotics.com,12,4,Series C,2022-04-07,,,112.5,64.0,,
ManiMe,https://manime.co,6,3,Series A,2020-09-16,,,8.72,6.0,,
MBrace Therapeutics,https://mbracetrx.com,6,3,Series B,2023-11-14,,,110.0,85.0,,
Artiphon,https://artiphon.com,9,8,Seed VC - II,2021-02-10,,2018,7.68,13.0,,1.0
Switchee,https://switchee.com,13,7,Series A - II,2024-07-10,,,17.28,6.39,,
Wise Systems,https://wisesystems.com,18,11,Series C,2021-10-06,,,73.14,50.0,,
Mos,https://mos.com,8,3,Series B,2022-02-03,2020-05,,53.0,40.0,50.0,
Curtsy,https://curtsyapp.com,7,6,Series A,2021-01-20,,,11.15,11.0,,
Entrupy,https://entrupy.com,4,6,Unattributed,2022-03-31,,,8.83,3.02,,
Clozd,https://clozd.com,3,2,Series A,2022-05-25,,,55.8,52.0,,
Excision BioTherapeutics,https://excision.bio,18,5,Grant,2022-09-29,,,76.85,6.85,,
Dropzone AI,https://dropzone.ai,10,2,Series A,2024-04-25,,,20.35,16.85,,
GCOO,https://gcoo.io,17,8,Incubator/Accelerator,2024-05-07,,,9.05,13.0,,
Xilis,https://xilis.com,15,6,Series A - II,2022-07-13,,,94.0,19.0,,
Fondeadora,https://fondeadora.com,14,7,Series B,2021-11-01,2020-08,,104.65,57.0,52.5,
Democrance,https://democrance.com,11,6,Series A,2023-10-24,,,4.4,3.1,,
Songfinch,https://songfinch.com,8,4,Series A - II,2023-06-05,,,33.3,9.5,,
BrightHire,https://brighthire.com,11,4,Series B,2021-10-07,,,36.0,20.5,,
SpotDraft,https://spotdraft.com,19,7,Incubator/Accelerator - II,2024-07-18,,,28.06,13.0,,
NEON,https://neondao.xyz,1,5,Other Investors,,,,26.0,13.0,,
WHOOSH!,https://whoosh.com,1,1,Debt,2015-11-02,,,1.5,1.5,,
Montonio,https://montonio.com,13,3,Series A,2022-04-12,,,15.5,11.96,,
Folia Health,https://foliahealth.com,2,7,Unattributed,2021-11-09,,,7.16,6.0,,
Rescale,https://rescale.com,79,14,Series C - IV,2023-06-23,,,155.9,13.0,,
Antenna,https://goantenna.com,1,5,Acquired,2021-01-01,,,26.0,13.0,,
Easy Crypto,https://easycrypto.com,8,1,Series A,2021-10-06,,,11.76,11.76,,
Gorgias,https://gorgias.com,22,9,Series C - II,2024-05-14,2022-08,,102.34,29.0,710.0,
Snaptrude,https://snaptrude.com,10,5,Series A,2023-11-09,,,20.69,14.0,,
Mirvie,https://mirvie.com,10,5,Grant,2023-08-02,2022-05,,64.6,4.6,155.0,
Oso,https://osohq.com,16,3,Series A - II,2023-06-20,,,25.94,15.0,,
Gembah,https://gembah.com,6,6,Series A - III,2023-07-18,,,14.28,13.0,,
Sensors Data,https://sensorsdata.com,16,9,Series D,2022-05-06,,,289.95,200.0,,
Meniga,https://meniga.com,15,13,Series D - III,2023-12-13,,,72.82,16.17,,
Luma AI,https://lumalabs.ai,11,3,Series B,2024-01-09,,,67.3,43.0,,
Calo,https://calo.app,9,3,Shareholder Liquidity,2022-12-06,,,26.5,13.0,,
Neuralink,https://neuralink.com,22,6,Series D,2023-08-07,2023-06,,679.7,323.24,5000.0,
Pina Earth,https://pina.earth,8,2,Seed VC,2022-07-05,,,3.0,2.5,,
XM Cyber,https://xmcyber.com,9,6,Acquired,2021-11-22,,,54.0,13.0,,
EasyPost,https://easypost.com,30,5,Acquired,2020-03-23,,,61.65,13.0,,
Baobab Studios,https://baobabstudios.com,18,6,Unattributed VC,2021-11-01,,,31.98,0.3,,
PowerX,https://powerx.co,7,5,Seed VC - II,2023-06-02,,,4.84,13.0,,
Ontic,https://ontic.com,3,3,Unattributed,2024-05-03,2019-07,,450.0,450.0,1365.0,
Formant,https://formant.io,13,5,Series B,2023-10-11,,,45.25,21.0,,
Moonware,https://moonware.com,1,3,Unattributed,2023-08-01,,,4.83,2.33,,
Yuca,https://yuca.live,10,3,Seed VC - II,2022-05-02,2019-07,,14.7,13.0,20.17,
Substack,https://substack.com,16,7,Series B - II,2023-05-30,2021-03,2022,100.23,10.0,650.0,18.6
Komunal,https://komunalgroup.com,8,4,Series A - III,2024-01-02,,,16.1,5.5,,
Zilingo,https://zilingo.com,18,6,Loan,2021-07-01,2019-02,2017,347.81,40.0,970.0,1.27
AppliedXL,https://appliedxl.com,11,2,Seed VC - II,2022-03-22,,,5.0,3.5,,
anecdotes,https://anecdotes.ai,7,4,Series B,2024-01-09,,,55.0,25.0,,
Openly,https://openly.com,15,9,Series D,2023-09-21,,,237.77,100.0,,
AutoNxt Automation,https://autonxt.in,11,3,Seed VC,2024-04-09,,,3.81,3.0,,
Solvento,https://solvento.mx,14,6,Unattributed VC,2024-07-22,2022-10,,71.0,5.0,20.0,
Faddom,https://faddom.com,2,2,Series A,2023-09-01,,,18.0,12.0,,
Imvax,https://imvax.com,8,6,Series C - III,2024-05-21,,,209.45,35.0,,
Personio,https://personio.com,17,7,Series E - II,2022-06-22,2021-10,,724.83,200.0,6300.0,
Neodocs,https://neodocs.in,27,10,Seed VC - IV,2024-02-08,,,2.13,2.0,,
Pledge,https://pledger.finance,4,1,Seed VC,2021-09-11,,,3.0,3.0,,
Zenyum,https://zenyum.com,9,4,Series B,2021-05-31,,,55.1,40.0,,
Swell Energy,https://swellenergy.com,7,4,Dead,2024-08-27,,,133.64,13.0,,
Lilac Solutions,https://lilacsolutions.com,24,11,Series C,2024-02-12,,,318.46,145.0,,
GRANA,https://grana.com,6,6,Debt,2017-11-17,,,16.1,13.0,,
PrecisionHawk,https://precisionhawk.com,17,11,Bankrupt/Liquidation,2023-12-19,,,141.89,13.0,,
Sensefinity,https://sensefinity.com,13,8,Series A,2023-07-01,,,4.76,4.0,,
Anagog,https://anagog.com,15,11,Merger,2023-11-13,,,22.52,13.0,,
Loupe,https://,1,1,Seed,2019-05-31,,,0.03,0.03,,
Balto,https://baltobenefits.com,1,5,Seed VC,2024-01-01,,,26.0,13.0,,
Everyware,https://everyware.com.hk,2,5,Seed VC,2018-11-14,,,26.0,13.0,,
GTM Buddy,https://gtmbuddy.ai,10,4,Series A,2024-04-09,,,18.5,8.0,,
Pair Team,https://pairteam.com,18,8,Series A - II,2024-06-10,,,19.6,0.5,,
Cobre,https://cobre.co,5,5,Series C,2024-09-06,,,95.29,27.0,,
Rigi,https://rigi.io,1,5,Acquired,2023-11-21,,,26.0,13.0,,
SquadStack,https://squadstack.com,18,5,Series B,2022-08-09,,,24.7,17.6,,
OnOff,https://onoff.app,7,6,Series C,2018-06-19,,,17.32,11.57,,
Bandana,https://bandana.co,4,2,Series A,2024-08-07,,,12.3,8.5,,
OYO,https://oyo.co.jp,1,5,IPO,1995-06-01,,,26.0,13.0,,
INZMO,https://inzmo.com,4,5,Seed VC - II,2021-01-28,,,5.52,3.76,,
Taurus,https://taurusarmas.com.br,1,1,Line of Credit,2023-03-14,,,33.1,33.1,,
Neurogene,https://neurogene.com,14,5,Reverse Merger,2023-12-19,,,278.5,13.0,,
Recycleye,https://recycleye.com,12,8,Series A,2023-02-02,,,24.06,17.0,,
MONO,https://mmmono.com,2,5,Seed,2014-09-30,,,26.0,13.0,,
Trifacta,https://trifacta.com,25,10,Shareholder Liquidity,2022-08-30,2022-01,,228.3,13.0,400.0,
Privy,https://privy.com,13,8,Acquired,2021-06-04,,,9.78,13.0,,
Lumos,https://lumosdata.com,3,2,Seed,2024-07-17,,,3.0,13.0,,
Prana Thoracic,https://pranathoracic.com,15,7,Series A - III,2024-06-18,,,11.5,3.0,,
ThoughtWire,https://thoughtwire.com,10,8,Debt - II,2020-08-18,,,33.64,8.73,,
Sisu Global Health,https://sisuglobal.health,12,9,Unattributed VC,2023-10-23,,,5.12,0.1,,
Cartona,https://cartona.com,11,5,Series A - II,2024-07-30,,,24.6,5.6,,
DroneUp,https://droneup.com,3,11,Debt - VI,2024-01-05,,,16.84,0.95,,
AppliedVR,https://appliedvr.io,12,7,Series B,2021-11-11,,,68.7,36.0,,
Moss,https://mossinc.com,3,5,Acq - Fin - II,2016-05-06,,,26.0,13.0,,
Nexkey,https://nexkey.com,5,4,Unattributed VC,2021-11-08,,,10.8,13.0,,
Soundtrack Your Brand,https://soundtrackyourbrand.com,21,6,Convertible Note,2023-06-14,2020-05,,73.33,15.0,35.01,
Supermetrics,https://supermetrics.com,5,2,Series B,2020-08-25,,,51.39,47.24,,
Babylist,https://babylist.com,11,4,Series C,2021-11-04,,,40.64,40.0,,
Koltin,https://koltin.mx,4,4,Series A,2024-09-19,,,7.38,7.3,,
Cybera,https://cybera.com,6,9,Acquired,2020-12-09,,,23.02,13.0,,
Paradromics,https://paradromics.com,19,14,Series A - II,2023-11-01,,,121.0,17.13,,
Cometh,https://cometh.io,7,2,Grant,2024-07-03,,,10.0,13.0,,
HSL Technologies,https://hsl.tech,19,12,Unattributed VC,2023-07-27,,,16.54,13.0,,
Mashgin,https://mashgin.com,15,6,Series B,2022-05-09,2015-03,,62.67,62.5,10.0,
StayTuned,https://staytuned-app.com,1,5,Seed,2014-06-13,,,26.0,13.0,,
TransactionLink,https://transactionlink.io,8,2,Seed VC - II,2023-10-11,,,6.75,5.3,,
VoltServer,https://voltserver.com,7,10,Series B,2023-04-21,,,39.72,17.5,,
DataGrail,https://datagrail.io,13,6,Series C,2022-10-12,2018-09,,84.0,45.0,16.0,
C12 Quantum Electronics,https://c12qe.com,13,6,Series A,2024-06-19,,,29.4,19.4,,
Perci Health,https://percihealth.com,3,4,Grant,2024-02-14,,,6.28,13.0,,
CowryWise,https://cowrywise.com,7,4,Seed VC - II,2021-01-28,,,3.12,3.0,,
Tagworks Pharmaceuticals,https://tagworkspharma.com,6,2,Series A,2023-06-22,,,65.0,65.0,,
Elligo Health Research,https://elligohealthresearch.com,15,8,Line of Credit,2023-10-02,,,219.77,40.0,,
BallotReady,https://ballotready.org,10,6,Seed VC - IV,2023-08-16,2019-11,,5.39,13.0,12.0,
Nanome,https://nanome.ai,6,5,Seed VC - II,2022-08-01,,,3.0,13.0,,
Nauto,https://nauto.co.jp,1,5,Unattributed VC,2023-06-23,,,26.0,13.0,,
Kargo,https://mykargo.com,8,2,Series A,2022-03-07,,,31.0,25.0,,
Valimail,https://valimail.com,5,4,Series C,2019-06-19,,2018,83.5,45.0,,300.0
Stratyfy,https://stratyfy.com,5,6,Seed,2023-03-21,,,10.16,10.16,,
Hyperface,https://hyperface.co,18,4,Seed VC - III,2022-07-13,,,10.3,9.0,,
Clarifruit,https://clarifruit.com,10,8,Series A,2022-11-16,,,18.0,12.0,,
Watchmaker Genomics,https://watchmakergenomics.com,5,4,Series A,2022-06-02,,,48.77,40.0,,
Primer,https://primer.ai,15,8,Incubator/Accelerator - III,2023-10-26,,,233.7,13.0,,
Onward,https://onward.ai,1,5,Acquired,2018-10-02,,,26.0,13.0,,
UrbanPiper,https://urbanpiper.com,13,4,Series B,2022-01-28,,,31.5,24.0,,
LTK,https://ltkgrp.com,1,5,Acquired,2020-02-12,,,26.0,13.0,,
MyGate,https://mygate.com,6,4,Series B - II,2022-11-22,,,79.54,12.24,,
RightWay,https://rightway.co.nz,1,5,Other Investors,,,,26.0,13.0,,
Resilinc,https://resilinc.com,8,6,Private Equity,2023-05-08,,,23.0,13.0,,
VAMA,https://vama.eco,9,1,Unattributed,2015-07-31,,,1.39,1.39,,
Satispay,https://satispay.com,21,11,Series D,2022-09-28,2020-11,,466.59,306.9,293.41,
Archlet,https://archlet.io,12,5,Series A,2021-09-30,,,12.8,10.0,,
Octane,https://octane.in,1,5,Acquired,2017-06-01,,,26.0,13.0,,
Albedo,https://albedo.com,23,6,Series A - II,2023-10-31,,,93.13,35.0,,
KarmaCheck,https://karmacheck.com,17,4,Series B,2024-06-27,2022-02,,60.0,45.0,90.0,
Axle Health,https://axlehealth.com,6,5,Seed VC - III,2024-02-22,,,4.33,4.2,,
Investree,https://investree.nl,1,5,Acq - Fin,2024-04-11,,,26.0,13.0,,
House Rx,https://houserx.com,5,3,Series A,2022-03-15,,,25.0,25.0,,
Handle,https://handle.com,13,8,Series A - II,2024-02-08,,,40.46,13.0,,
Obsidian Security,https://obsidiansecurity.com,6,3,Series C,2022-04-14,,,119.5,90.0,,
Shapr3D,https://shapr3d.com,6,5,Series B,2022-01-01,,,21.8,10.0,,
Nutromics,https://nutromics.com,7,9,Seed,2023-06-08,,,29.4,7.0,,
RealFevr,https://realfevr.com,6,2,Series B,2022-10-31,2021-05,,12.6,9.93,19.42,
TrusTrace,https://trustrace.com,10,8,Series B,2024-01-18,,,31.27,24.0,,
RedCircle,https://redcircle.com,8,2,Series A,2021-09-02,,,7.5,6.0,,
Zeliq,https://zeliq.com,4,3,Seed VC,2024-06-11,,,15.33,13.0,,
Chingari,https://chingari.com,3,1,Series A,2001-01-24,,,23.0,23.0,,
Encellin,https://encellin.com,5,5,Series A,2023-12-13,,,18.06,9.9,,
GetSetup,https://getsetup.io,11,4,Convertible Note - II,2021-11-22,,,27.0,10.0,,
Hypatos,https://hypatos.ai,15,8,Incubator/Accelerator - V,2022-03-17,,,16.47,13.0,,
SiTration,https://sitration.com,8,7,Seed VC,2024-06-05,,,14.15,11.8,,
Tenyks,https://tenyks.ai,15,5,Incubator/Accelerator - II,2024-04-24,2022-03,,3.53,13.0,28.0,
Aye,https://ayefin.com,30,39,Series G,2024-09-20,,2024,446.63,29.92,,128.37
Terraformation,https://terraformation.com,9,4,Series A - III,2023-01-05,,,35.0,13.0,,
Axle Energy,https://axle.energy,8,3,Seed VC,2024-08-01,,,10.6,9.0,,
deepset,https://deepset.ai,8,3,Series B,2023-08-09,,,45.6,30.0,,
Silverflow,https://silverflow.co,7,4,Series B,2023-11-16,,,36.8,16.25,,
R3,https://r3.fr,1,5,Seed,2023-10-26,,,26.0,13.0,,
BuuPass,https://buupass.com,17,9,Angel,2024-02-26,,,3.95,13.0,,
FunNow,https://myfunnow.com,16,5,Series B,2021-11-08,2019-09,2018,21.8,15.0,24.16,16.0
Fourier Intelligence,https://fftai.com,10,9,Series D,2022-01-26,,,83.95,62.96,,
Filo,https://filotrack.com,5,5,Acquired,2023-05-04,,,3.31,13.0,,
wherEX,https://wherex.cl,10,3,Series A - II,2022-04-01,,,15.0,8.0,,
MarcoPolo Learning,https://marcopololearning.com,7,4,Series B,2021-08-26,,,26.24,2.0,,
Autobooks,https://autobooks.co,14,9,Series C,2022-06-21,,,98.58,50.0,,
ReloShare,https://reloshare.com,2,5,Seed VC,2023-12-14,,,26.0,13.0,,
Stride Health,https://stridehealth.com,19,8,Series C,2021-10-26,,,97.68,47.0,,
Pomelo,https://pomelofashion.com,20,9,Debt - II,2023-02-07,,,90.5,3.0,,
Rohirrim,https://rohirrim.ai,4,3,Series A - II,2024-07-10,,,17.5,13.0,,
Nomic,https://nomic.com,2,5,Seed VC - II,2013-02-01,,,26.0,13.0,,
8fig,https://8fig.co,8,5,Series B,2023-05-09,,,196.5,40.0,,
Dipsea,https://dipseastories.com,9,5,Acquired,2024-09-26,,,12.88,13.0,,
Sitka,https://trustsitka.com,8,5,Merger,2023-11-14,,,18.54,13.0,,
Syzygy Plasmonics,https://plasmonics.tech,17,9,Unattributed VC,2024-02-21,,,109.8,13.0,,
BlueConic,https://blueconic.com,4,6,Private Equity,2022-01-05,,,24.57,13.0,,
DeHaat,https://agrevolution.in,13,7,Series E - II,2022-12-01,2022-10,,224.14,14.0,695.0,
Paradox,https://paradox.no,1,5,Acquired,2018-12-12,,,26.0,13.0,,
Tapcheck,https://tapcheck.com,2,3,Series A - II,2023-04-19,,,38.03,18.03,,
StudySmarter,https://studysmarter.de,11,7,Series A - II,2021-10-15,,,31.0,16.0,,
FreedomPop,https://freedompop.com,10,12,Acquired,2019-06-07,,,106.9,13.0,,
Fable,https://,2,1,Seed VC,2019-12-10,,,1.02,1.02,,
Energyworx,https://energyworx.com,5,5,Series C,2021-07-07,,,8.2,6.0,,
Rippleshot,https://rippleshot.com,9,7,Loan,2020-04-28,,,5.71,0.25,,
Cuure,https://cuure.com,4,3,Series A,2022-09-09,,,12.21,10.05,,
TomoCredit,https://tomocredit.com,22,6,Debt,2022-07-21,2022-07,,139.12,100.0,222.0,
Nium,https://wearenium.com,3,2,Seed VC,2023-06-06,,,3.14,3.0,,
Yoto,https://yotoplay.com,9,7,Loan,2024-10-14,,,55.0,15.0,,
Release,https://release.com,11,5,Incubator/Accelerator,2024-02-15,,,22.85,13.0,,
Eko,https://eko.investments,1,1,Seed,2022-11-07,,,0.12,0.12,,
Farcana,https://farcana.com,12,2,Seed VC - II,2023-11-27,,,10.0,10.0,,
Rubi Laboratories,https://rubi.earth,18,6,Seed VC - III,2023-12-14,2022-02,,18.86,5.15,35.0,
SMBX,https://thesmbx.com,7,3,Seed VC - II,2021-10-20,,,14.05,11.5,,
Hyphen,https://justhyphen.com,1,1,Seed,2023-01-09,,,0.12,0.12,,
FundGuard,https://fundguard.com,16,4,Series C,2024-03-25,,,156.0,100.0,,
CollegeDekho,https://collegedekho.com,8,8,Series B - V,2024-07-08,2022-12,2019,58.0,9.0,138.0,3.2
Finerio Connect,https://finerioconnect.com,18,14,Incubator/Accelerator - IV,2024-09-17,,,7.95,13.0,,
Harvest,https://harvest-thermal.com,17,11,Grant - IV,2024-09-17,2022-12,,16.22,2.0,10.0,
Memrise,https://memrise.com,14,6,Series B,2018-06-11,,,24.97,15.5,,
Kula Bio,https://kulabio.com,12,8,Series A,2022-01-27,2019-10,,71.23,50.0,15.8,
SeatGeek,https://seatgeek.com,37,15,Series E,2022-08-31,2015-04,,405.65,238.0,200.0,
Epoch,https://epoch-inc.com,1,1,Seed,2013-07-18,,,2.7,2.7,,
TodayTix,https://todaytix.com,11,5,Series C,2019-05-16,,,89.58,73.0,,
ClearGov,https://cleargov.com,9,8,Unattributed VC,2024-03-17,,,31.63,4.0,,
Kula,https://kula.ai,5,2,Seed VC,2022-08-31,,,14.7,12.0,,
New Culture,https://newculture.com,18,7,Corporate Minority,2022-11-03,,,29.97,13.0,,
Molecule,https://molecule.ink,1,5,Acquired,2019-05-17,,,26.0,13.0,,
Pogo,https://pogoit.uk,1,1,Seed VC,2016-12-20,,,0.12,0.12,,
DeepScribe,https://deepscribe.ai,17,8,Series A,2022-01-11,,,40.24,30.0,,
NXRT,https://nxrt.io,10,5,Series A,2024-08-19,,,10.52,4.98,,
Bevy,https://bevyinc.com,2,1,Seed VC,2007-10-19,,,1.2,1.2,,
SigTuple,https://sigtuple.com,24,12,Series C - III,2024-08-06,,,52.12,4.0,,
PayActiv,https://payactiv.com,7,6,Series C,2020-08-13,,,133.55,100.0,,
Osmind,https://osmind.org,21,6,Series B,2022-05-10,,,57.61,40.0,,
Rheaply,https://rheaply.com,25,8,Option/Warrant,2023-03-15,,,33.82,0.02,,
BOLD,https://boldcm.eu,1,5,Acquired,2021-12-14,,,26.0,13.0,,
Liftango,https://liftango.com,11,6,Series A - II,2023-05-10,,,11.36,3.15,,
Adaptilens,https://adaptilens.com,7,6,Series A,2024-04-29,,,20.87,17.5,,
Genemod,https://genemod.net,10,3,Seed VC - II,2023-05-04,2020-08,,6.2,4.5,10.0,
CHIEF,https://agencychief.com,1,5,Merger,2018-09-06,,,26.0,13.0,,
NILE,https://poweredbynile.com,1,1,Convertible Note,2022-10-05,,,0.15,0.15,,
Flexport,https://flexport.com,35,12,Convertible Note,2024-01-19,2022-02,2022,2747.0,260.0,8000.0,1000.0
80 Acres Farms,https://80acresfarms.com,10,4,Incubator/Accelerator,2024-05-01,,,200.1,13.0,,
Creatively,https://creatively.life,6,4,Seed VC - II,2022-03-09,,,20.98,8.0,,
Pillar,https://pillarlife.com,14,4,Acquired,2021-03-02,,,7.1,13.0,,
Tracksuit,https://gotracksuit.com,10,2,Series A,2024-02-28,,,18.5,13.5,,
Endowus,https://endowus.com,11,4,Series C,2023-08-08,,,82.86,35.0,,
Velou,https://velou.com,9,4,Seed VC - II,2024-09-17,,,9.0,5.0,,
SubStrata,https://substrata.me,7,3,Seed VC,2022-09-01,,,5.37,5.14,,
Checkbook,https://checkbook.io,12,6,Series A,2021-09-03,,,13.05,10.55,,
Earthshot Labs,https://earthshot.eco,9,4,Series A,2024-05-10,,,13.02,5.71,,
Tabit,https://tabit.cloud,4,3,Unattributed VC,2022-08-01,,,65.0,13.0,,
Ribbon,https://ribbonhome.com,16,8,Acquired,2023-05-08,,,709.4,13.0,,
Raydiant Oximetry,https://raydiantoximetry.com,26,16,Grant - II,2024-09-24,,,24.25,1.0,,
Expedock,https://expedock.com,11,6,Series A,2022-08-10,,,14.65,13.5,,
Qdrant,https://qdrant.tech,6,4,Series A,2024-01-23,2023-04,,37.79,28.0,50.0,
OnCue,https://alwaysoncue.com,2,1,Series A,2000-05-31,,,120.69,120.69,,
PAPER,https://,1,5,Incubator/Accelerator,2017-05-23,,,26.0,13.0,,
Karius,https://kariusdx.com,15,6,Series C,2024-05-02,2020-02,,340.0,100.0,700.0,
Roofr,https://roofr.com,16,7,Series A - II,2023-10-18,,,43.87,23.5,,
Intenseye,https://intenseye.com,13,7,Incubator/Accelerator - II,2024-07-12,2023-10,,93.1,13.0,300.0,
PathoQuest,https://pathoquest.com,11,6,Series D,2021-11-12,,,33.83,17.18,,
Thrive Global,https://thriveglobal.com,34,4,Series C,2021-07-08,2018-05,,130.0,80.0,121.5,
FtCash,https://ftcash.com,9,9,Incubator/Accelerator - III,2019-07-17,2019-05,,7.36,13.0,15.0,
Novig,https://novig.us,19,4,Seed VC - III,2023-08-22,,,12.9,6.4,,
PingCAP,https://pingcap.com,20,6,Series E,2021-07-20,,2018,335.0,13.0,,1.43
Commons Clinic,https://commonsclinic.com,7,6,Series A,2023-10-09,,,41.93,19.5,,
Unacademy,https://unacademy.com,34,14,Series H,2021-08-01,2020-11,,875.73,440.0,2000.0,
UnionTech,https://uniontech3d.com,11,5,Series D - II,2022-09-12,,,63.74,30.0,,
FitOn,https://fitonapp.com,10,7,Convertible Note,2024-03-19,,,73.11,3.5,,
Kontempo,https://kontempo.io,7,4,Line of Credit,2022-08-04,2022-08,,31.66,25.0,24.5,
Loop,https://joinloop.com,2,3,Incubator/Accelerator,2015-11-05,,,1.49,0.02,,
Elation Health,https://elationhealth.com,16,5,Series D,2022-07-26,,,106.5,50.0,,
Element Biosciences,https://elementbiosciences.com,14,6,Series D,2024-07-11,,,648.3,277.0,,
Lumotive,https://lumotive.com,8,3,Series B,2023-01-03,,,13.0,13.0,,
Agrotoken,https://agrotoken.com,14,2,Seed VC - II,2023-11-08,,,16.5,12.5,,
ChargeBee,https://chargebee.com,6,9,Series H,2022-02-01,2021-04,,468.65,250.0,1400.0,
Swing Therapeutics,https://swingtherapeutics.com,8,2,Series A,2022-06-16,,,19.3,10.3,,
Headgum,https://headgum.com,4,3,Series A - III,2023-07-22,,,15.96,2.46,,
Guru,https://guru.com,12,5,Unattributed VC,2021-07-07,,,65.1,2.4,,
Toku,https://trytoku.com,10,8,Series A - II,2024-04-16,,,18.62,9.3,,
Gong,https://gong.io,13,8,Series E,2021-06-03,2020-08,2019,583.0,250.0,2200.0,20.0
Dotfile,https://dotfile.com,9,2,Seed VC - II,2024-09-25,,,9.39,6.7,,
Noble.Ai,https://noble.ai,10,5,Series A - III,2024-04-02,,,30.5,10.0,,
AccessFintech,https://accessfintech.com,10,4,Series C,2022-09-22,,,102.5,65.0,,
HigherMe,https://higherme.com,11,4,Biz Plan Competition,2016-10-28,,,2.24,0.6,,
MiiCare,https://miihealth.ai,3,5,Incubator/Accelerator - III,2024-09-26,,,26.0,13.0,,
Spotahome,https://spotahome.com,22,6,Growth Equity,2022-05-16,,,98.34,5.0,,
Speedoc,https://sg.speedoc.com,8,3,Bridge,2022-11-07,,,34.8,28.0,,
Pienso,https://pienso.com,13,6,Series A,2024-03-12,,,18.92,10.0,,
Hayden AI,https://hayden.ai,17,12,Series C,2024-07-10,,,173.42,90.0,,
Carbon6,https://carbon6.io,4,3,Debt,2022-10-04,,,75.0,52.16,,
Turnkey,https://turnkey.tech,1,1,Private Equity,2022-10-19,,,2.8,2.8,,
Ezoic,https://ezoic.com,5,4,Loan,2020-04-28,,,40.1,1.5,,
Owkin,https://owkin.com,18,14,Corporate Minority,2022-06-08,2021-11,,334.1,80.0,1000.0,
C2RO,https://c2ro.com,8,5,Incubator/Accelerator - II,2021-01-01,,,2.81,13.0,,
Squeeze,https://squeezestudio.com,1,5,Corporate Majority,2022-08-02,,,26.0,13.0,,
Incognia,https://incognia.com,8,4,Series B,2024-01-17,2022-06,,66.5,31.0,115.0,
Synspective,https://synspective.com,32,8,Series C,2024-06-19,,,258.07,44.26,,
Enertiv,https://enertiv.com,20,12,Seed VC - IV,2023-11-03,,,19.0,1.25,,
Andie,https://andieswim.com,11,7,Series B,2021-12-14,,,32.14,18.5,,
Base Operations,https://baseoperations.com,16,8,Series A,2023-12-21,,,19.18,9.1,,
Yapily,https://yapily.com,11,5,Incubator/Accelerator - II,2022-09-22,,,69.4,13.0,,
Parade,https://yourparade.com,11,6,Acquired,2023-08-15,2022-08,2020,33.0,13.0,200.0,10.0
Avochato,https://avochato.com,4,2,Series A,2018-12-07,,,6.0,5.0,,
Oleria,https://oleria.com,5,2,Series A,2023-12-14,,,41.1,33.1,,
AB Tasty,https://abtasty.com,12,9,Series C,2020-07-22,,,63.54,40.0,,
Spare,https://spareusa.org,1,2,Unattributed VC,2017-02-23,,,0.05,13.0,,
Genesis Therapeutics,https://genesistherapeutics.ai,16,6,Series B,2023-08-21,,,279.99,200.0,,
