name,website,investor_count,funding_count,funding_total,funding_last_type,funding_last,funding_last_date,valuation,valuation_date,revenue_year,revenue_total
Upswing,https://upswing.io,12,10,17.1M,Debt,1.09M,"June 28, 2023",,,,
Begin,https://begin.com,2,,,Seed VC - II,,"April 8, 2016",,,,
Sunflower Therapeutics,https://sunflowertx.com,3,5,19.71M,Convertible Note,2M,"May 24, 2024",,,,
Growsari,https://growsari.com,11,4,96.5M,Private Equity,5M,"August 5, 2024",,,,
Remotebase,https://remotebase.com,5,2,3.5M,Seed VC - II,2.1M,"October 27, 2022",,,,
Clubbi,https://clubbi.com.br,9,6,19.56M,Series A - II,2.51M,"July 1, 2024",$11.5M,December 2021,,
Propseller,https://propseller.com,17,4,14.08M,Series A,12M,"August 30, 2022",,,,
Burrow,https://letsburrow.com,1,1,1.2M,Seed VC,1.2M,"September 20, 2017",,,,
ClinOne,https://clinone.com,11,9,9.7M,Acquired,,"September 17, 2024",,,,
taika,https://taika.co,2,1,2.7M,Seed VC,2.7M,"May 13, 2020",,,,
Sionna Therapeutics,https://sionnatx.com,12,6,293M,Series C - II,,"July 16, 2024",$482M,March 2024,,
Lexly,https://lexly.tech,1,,,Grant,,"November 5, 2020",,,,
NexHealth,https://nexhealth.com,31,8,177.36M,Series C,125M,"April 21, 2022",$431M,June 2021,2021,8M
Otis AI,https://meetotis.com,16,4,2.65M,Seed VC - II,,"September 7, 2023",$13.5M,January 2022,,
Uolo,https://theuolo.com,10,5,25.48M,Series A,,"December 8, 2022",,,,
Energetic Insurance,https://energeticinsurance.com,12,8,13.95M,Series A,7M,"September 27, 2021",,,,
TRANZACT,https://tranzact.net,8,,,Acq - Fin - III,,"October 1, 2024","$1,400M",March 2019,,
Harvey,https://goharvey.com,5,4,22.47M,Dead,,"March 22, 2017",,,,
PlayPlay,https://playplay.com,6,4,65.86M,Series B,55M,"February 15, 2022",,,,
Templafy,https://templafy.com,10,8,210.63M,Debt,75M,"July 29, 2022",,,2019,13.74M
Carbon-12 Labs,https://carbon.money,6,2,2.5M,Convertible Note,0.5M,"January 1, 2020",,,,
Innowatts,https://innowatts.com,9,6,25.75M,Grant,0.05M,"September 12, 2023",,,,
Ciba Health,https://cibahealth.com,8,7,10.8M,Incubator/Accelerator - IV,,"April 4, 2024",,,,
Hysata,https://hysata.com,22,6,171.31M,Series B,111.3M,"May 8, 2024",,,,
BuildOut,https://buildout.com,2,3,8.3M,Series B,,"July 21, 2020",,,,
HiveWatch,https://hivewatch.com,8,2,25M,Series A,20M,"October 26, 2021",,,,
Softwheel,https://softwheel.technology,4,3,35M,Series C,25M,"August 20, 2018",,,,
AccioJob,https://acciojob.com,3,3,3.03M,Seed - III,2.71M,"September 9, 2023",,,,
Anzen,https://anzen.finance,9,1,4M,Seed VC,4M,"May 28, 2024",,,,
Transcelestial,https://transcelestial.com,21,9,23.5M,Series A - III,10M,"January 24, 2023",$40M,July 2020,,
Bounce,https://bounceinc.com.au,1,1,14.71M,Private Equity,14.71M,"April 18, 2022",,,,
Virtuix,https://virtuix.com,14,14,45.65M,Convertible Note,1.02M,"March 17, 2023",$65M,May 2021,,
Oro Labs,https://orolabs.ai,5,2,59M,Series B,34M,"November 1, 2023",,,,
ApplyBoard,https://applyboard.com,22,11,553.54M,Line of Credit,73.63M,"April 1, 2024","$3,200M",June 2021,,
Haus,https://haus-app.com,2,2,50K,Incubator/Accelerator,,"November 16, 2017",,,,
Progcap,https://progcap.com,12,7,102.39M,Series C - III,,"October 17, 2022",$600M,June 2022,,
Veryable,https://veryableops.com,4,4,34.28M,Series A,31.9M,"August 10, 2021",,,,
Akiba Digital,https://akibadigital.com,12,7,1.31M,Incubator/Accelerator - III,,"March 28, 2022",,,,
QuSecure,https://qusecure.com,5,5,2.17M,Incubator/Accelerator - II,,"July 28, 2023",,,,
AdTonos,https://adtonos.com,5,2,2.5M,Seed VC,2M,"August 29, 2022",,,,
ImCheck Therapeutics,https://imchecktherapeutics.com,19,6,208.41M,Grant,22.38M,"August 29, 2024",,,,
Doppel,https://doppel.com,16,2,23.85M,Series A,18.85M,"January 2, 2024",,,,
Inventa,https://inventa.shop,18,6,80.4M,Series B - II,,"December 1, 2022",$70M,April 2022,,
Etleap,https://etleap.com,4,2,3.12M,Seed - II,1.5M,"April 25, 2018",,,,
SmarterDx,https://smarterdx.com,5,3,71M,Series B,50M,"May 14, 2024",,,,
BetterUp,https://betterup.com,25,6,566.9M,Series E,300M,"October 8, 2021","$1,730M",February 2021,,
Venatorx Pharmaceuticals,https://venatorx.com,9,9,120.62M,Debt,15M,"February 27, 2023",,,,
Lessen,https://lessen.com,9,5,1.169B,Debt,963.52M,"January 12, 2023","$1,000M",November 2021,,
RepeatMD,https://repeatmd.com,5,3,54.21M,Loan,10M,"November 27, 2023",,,,
FarMart,https://farmart.co,12,9,47.28M,Debt,2.88M,"May 29, 2024",$150M,March 2022,,
Jirnexu,https://jirnexu.com,13,7,29M,Corporate Minority,,"June 29, 2024",,,,
Nelumbo,https://nelumbo.io,11,4,21.35M,Series A - II,14M,"April 16, 2020",,,,
Tourlane,https://tourlane.com,8,6,99.59M,Series C - II,20M,"November 18, 2020",,,,
Lola,https://lolamx.com,1,,,Acquired,,"December 15, 2017",,,,
Sakneen,https://sakneen.com,6,3,1.38M,Seed VC,1.1M,"February 8, 2021",,,,
Kabata,https://kabatafitness.com,15,2,7M,Seed VC - II,5M,"August 20, 2024",,,,
Orus,https://orus.eu,13,3,16.69M,Series A,11.6M,"October 10, 2023",,,,
Seabound,https://seabound.co,10,4,5.16M,Convertible Note - II,0.14M,"December 12, 2023",,,,
Rubedo,https://rubedolife.com,14,6,53.45M,Series A,40M,"April 22, 2024",,,,
MacStadium,https://macstadium.com,3,4,4M,Debt,3M,"June 13, 2017",,,,
Countingup,https://countingup.com,14,4,21.36M,Series A,12.73M,"March 4, 2021",,,,
Electra,https://go-electra.com,21,6,551.6M,Series B,332.79M,"January 15, 2024",,,,
Omnidian,https://omnidian.com,16,5,85.1M,Series B - II,25M,"October 26, 2023",,,,
SparkCharge,https://sparkcharge.io,17,19,68.84M,Series B,13.33M,"September 27, 2024",,,,
BlueDot,https://blue.tech,3,1,10.1M,Series A,10.1M,"March 14, 2016",,,,
Reltio,https://reltio.com,10,8,240.5M,Secondary Market,,"June 7, 2023","$1,700M",November 2021,,
ManyChat,https://manychat.com,3,3,19.13M,Series A,18M,"April 29, 2019",,,,
Nectar,https://getnectar.com,6,3,15.23M,Loan,0.68M,"April 29, 2020",,,,
Canary Technologies,https://canarytechnologies.com,9,9,95.8M,Series C,50M,"June 12, 2024",,,,
MOLOCO,https://moloco.com,13,9,213.65M,Secondary Market,,"June 29, 2023","$1,527.02M",June 2023,,
Vested Finance,https://vestedfinance.com,18,6,19.35M,Series A,12M,"April 5, 2022",,,,
Osmo,https://osmo.global,,2,500K,Dead,,"July 17, 2020",,,,
Starling Bank,https://starlingbank.com,14,14,905.62M,Shareholder Liquidity,,"February 8, 2023","$2,688.83M",February 2023,,
Graylog,https://graylog.org,14,8,65.31M,Debt,30M,"October 31, 2023",,,,
Trulioo,https://trulioo.com,12,9,469.74M,Series D,394M,"June 7, 2021",,,,
Epitel,https://epitel.com,9,3,12.5M,Series A,12.5M,"February 16, 2022",,,,
CodeCombat,https://codecombat.com,11,6,9.13M,Unattributed VC,0.33M,"September 28, 2020",,,,
We Are The Mighty,https://wearethemighty.com,1,5,5.28M,Acquired,,"June 2, 2022",,,,
Agoric,https://agoric.com,12,2,4M,Series A,,"May 1, 2021",,,,
Bionomous,https://bionomous.ch,10,10,4.45M,Incubator/Accelerator - II,,"December 18, 2023",,,,
Mazen Animal Health,https://mazenanimalhealth.com,16,7,15.38M,Series A,11M,"May 25, 2022",,,,
Arcadia Finance,https://arcadia.finance,1,,,Other Investors,,,,,,
Spike,https://spikenow.com,8,3,13.01M,Series A,8M,"June 11, 2020",,,,
Adway,https://adwayusa.com,5,3,9.2M,Seed VC - III,6M,"July 21, 2021",,,,
Codasip,https://codasip.com,7,4,12.5M,Grant,,"June 5, 2019",,,,
dcbel,https://dcbel.energy,11,5,149.5M,Grant,52M,"January 9, 2024",,,,
Oishii,https://oishii.com,15,7,199.25M,Series B - II,,"May 10, 2024",,,,
Aigen,https://aigen.io,7,4,18.86M,Series A,12M,"October 12, 2023",,,,
Homeppl,https://homeppl.com,10,7,4.04M,Seed VC - II,1.4M,"September 8, 2021",,,,
Refine Intelligence,https://refineintelligence.com,5,2,13M,Seed VC - II,13M,"November 14, 2023",,,,
SecurityScorecard,https://securityscorecard.com,18,11,290.95M,Grant,0.05M,"July 19, 2022",,,2021,71M
Laced,https://laced.com,6,2,13M,Series A,12M,"May 24, 2023",,,,
Outside,https://outsideapp.co,1,,,Incubator/Accelerator,,"April 18, 2019",,,,
IxamBee,https://ixambee.com,11,8,3M,Seed VC - II,1.34M,"April 24, 2023",,,,
Realtime Robotics,https://rtr.ai,24,15,66.26M,Series B,,"May 28, 2024",,,,
91Squarefeet,https://91squarefeet.com,13,9,17M,Series A,10M,"September 13, 2022",$30.5M,September 2022,,
Faction,https://factioninc.com,11,19,106.52M,Unattributed,5.02M,"July 7, 2020",,,,
AVO,https://avoapp.com,1,1,20K,Seed,0.02M,"September 4, 2015",,,,
Intellect,https://intellect.co,23,9,22.33M,Corporate Minority,,"March 15, 2023",,,,
Legit Security,https://legitsecurity.com,4,3,70M,Series B,40M,"September 20, 2023",,,,
Ready Education,https://readyeducation.com,2,,,Seed VC,,"June 29, 2023",,,,
ServiceTrade,https://servicetrade.com,4,5,135.42M,Growth Equity - II,85M,"December 6, 2021",,,,
Honey Homes,https://honeyhomes.com,11,3,18.25M,Series A - II,9.25M,"May 16, 2024",,,,
Sprig,https://,17,5,56.7M,Dead,,"May 26, 2017",$31M,March 2014,,
Merqueo,https://merqueo.com,13,5,86M,Debt,22M,"May 18, 2022",,,,
Bonusly,https://bonusly.com,6,6,31.9M,Series B,18.9M,"February 28, 2023",$9.5M,November 2015,,
Kaptyn,https://kaptyn.com,1,4,33.83M,Unattributed,10M,"November 4, 2022",,,,
Tribal,https://,,2,200K,Unattributed - II,0.07M,"February 20, 2019",,,,
Metaplane,https://metaplane.dev,11,5,22.2M,Series A - II,,"May 15, 2024",,,,
CleanRobotics,https://cleanrobotics.com,11,12,6.34M,Biz Plan Competition,0.13M,"June 16, 2023",,,,
Digbi Health,https://digbihealth.com,10,9,5.45M,Incubator/Accelerator - V,,"December 5, 2023",,,,
Xurya,https://xurya.com,16,8,88M,Series B,55M,"July 1, 2024",,,,
Talos,https://talos.com,24,3,145M,Series B,105M,"May 10, 2022",,,,
Provectus Algae,https://provectusalgae.com,8,5,10.43M,Incubator/Accelerator,,"May 27, 2024",,,,
Rock Content,https://rockcontent.com,9,6,35.11M,Series B,30M,"October 25, 2021",,,,
Implicity,https://implicity.com,13,9,28.57M,Seed,,"July 15, 2024",,,,
Ocrolus,https://ocrolus.com,28,9,136.91M,Series C - II,10.46M,"February 15, 2023",$500M,June 2021,2021,20M
Eradivir,https://eradivir.com,2,2,10.51M,Series A,10.25M,"September 23, 2024",,,,
Atlas Obscura,https://atlasobscura.com,24,6,39.45M,Unattributed VC,3.86M,"March 13, 2024",,,,
Passport,https://passportfintech.com,5,,,Seed VC,,"September 15, 2021",,,,
Joko,https://joko.com,5,5,13.56M,Series A,11.75M,"October 8, 2020",,,,
WEGLOT,https://weglot.com,2,2,50.51M,Series A,50M,"March 24, 2022",,,,
Spline,https://spline.design,12,6,41.16M,Series A,10M,"August 13, 2024",$55M,July 2023,,
BrightSpec,https://brightspec.com,6,5,24.35M,Series C,18.4M,"December 14, 2022",,,,
Govly,https://govly.com,5,3,13.26M,Series A,13.13M,"November 2, 2023",,,,
CareerFoundry,https://careerfoundry.com,7,5,11.42M,Unattributed VC,5.33M,"December 14, 2022",,,,
DataCebo,https://datacebo.com,3,2,11.5M,Seed VC,8.5M,"August 18, 2023",,,,
Xceed,https://xceed.se,1,,,Acquired,,"December 8, 2022",,,,
Overworld,https://overworld.games,10,3,12.5M,Seed VC - II,,"May 1, 2024",,,,
Patina,https://patinahealth.com,5,2,57M,Series A,57M,"October 26, 2021",,,,
Opus,https://opus.security,3,2,10M,Incubator/Accelerator,,"February 6, 2024",,,,
Sarvam AI,https://sarvam.ai,4,2,41M,Incubator/Accelerator,,"June 6, 2024",,,,
Augmentir,https://augmentir.com,7,6,11.19M,Series B,,"April 18, 2023",,,,
Cider Security,https://cidersecurity.io,3,3,38M,Acquired,,"November 17, 2022",,,,
Mesh Security,https://mesh.security,1,1,4.5M,Seed VC,4.5M,"August 10, 2022",,,,
SurgiBox,https://surgibox.com,5,8,1.25M,Grant - II,,"September 17, 2024",,,,
Kayhan Space,https://kayhan.space,13,8,11.47M,Seed VC - III,7M,"September 19, 2023",,,,
Hydrosat,https://hydrosat.com,17,10,35.49M,Grant - II,,"April 4, 2024",,,,
Aqemia,https://aqemia.com,7,7,62.91M,Series A - II,32.48M,"January 30, 2024",,,,
Loris,https://getloris.com,4,5,420K,Biz Plan Competition,,"November 1, 2022",,,,
Afterparty,https://afterparty.ai,24,5,23.03M,Seed VC - III,5M,"September 19, 2023",,,,
Corteria Pharmaceuticals,https://corteriapharma.com,7,2,84.54M,Series A,71M,"September 7, 2023",,,,
Array Labs,https://arraylabs.io,8,5,5.5M,Pre-Seed,5M,"October 25, 2022",,,,
CH4 Global,https://ch4global.com,4,4,45.5M,Series B,29M,"August 28, 2023",,,,
Cayena,https://cayena.com,22,5,89.55M,Series B,55M,"September 18, 2024",,,,
Dawaai,https://dawaai.pk,8,7,11M,Convertible Note,0.5M,"November 30, 2021",,,,
Elucidate,https://elucidate.co,10,4,14.57M,Series A,8.6M,"May 11, 2022",,,,
VUNO,https://vuno.co,13,11,32.19M,IPO,33.4M,"March 25, 2021",$129M,July 2020,,
Groq,https://groq.com,21,6,1.003B,Series D - II,640M,"July 12, 2024","$1,000M",April 2021,,
TreeFrog Therapeutics,https://treefrog.fr,13,8,87.24M,Corporate Minority,,"April 23, 2024",,,,
Auquan,https://auquan.com,6,5,7.12M,Seed VC,3.5M,"October 18, 2023",$14.5M,August 2022,,
Mill,https://mill.com,5,,,Series C,,"September 12, 2023",,,,
Fleet Space Technologies,https://fleetspace.com,18,5,70.68M,Series C,32.89M,"May 24, 2023",$126M,November 2021,,
Wint,https://wint.se,6,3,7.64M,Series B,3.42M,"October 11, 2021",,,,
PolyAI,https://poly.ai,16,11,118.5M,Incubator/Accelerator - IV,,"May 27, 2024",$300M,September 2022,,
Tulip,https://tulip.co,11,8,152.9M,Series C,100M,"August 10, 2021",,,,
Akido Labs,https://akidolabs.com,7,6,800K,Series A,,"May 11, 2020",,,,
Genetesis,https://genetesis.com,18,9,36.13M,Series C,17.5M,"October 6, 2022",,,,
DeepX,https://deepx.co.jp,4,1,15M,Unattributed VC,15M,"July 31, 2020",,,,
Cynerio,https://cynerio.com,6,3,37M,Series B,30M,"May 19, 2021",,,,
OneDay,https://oneday.io,7,3,9.34M,Series A,6.2M,"May 16, 2023",,,,
Luminance,https://luminance.com,6,6,63M,Series B - II,40M,"April 2, 2024",$100M,February 2019,,
Rupifi,https://rupifi.com,16,9,38.1M,Debt - III,8M,"March 22, 2022",,,2021,720K
F1 Arcade,https://f1arcade.com,9,2,167.77M,Growth Equity,130M,"July 11, 2024",,,,
sibros,https://sibros.tech,10,6,85.5M,Unattributed VC,,"November 18, 2022",,,,
Impress,https://smile2impress.com,14,5,196.24M,Unattributed,16.88M,"October 18, 2022",,,,
Mezmo,https://,4,,,Seed,,"July 1, 2016",,,,
Gr4vy,https://gr4vy.com,10,7,27.2M,Incubator/Accelerator - III,,"May 2, 2024",,,,
Tuum,https://tuum.com,10,5,49.68M,Series B - II,,"March 14, 2024",,,,
Lila Games,https://lilagames.com,11,2,12.8M,Series A,10M,"December 17, 2021",,,,
Cultimate Foods,https://cultimatefoods.com,9,5,2.61M,Seed VC,2.46M,"April 23, 2024",,,,
CompStak,https://compstak.com,20,8,78.93M,Series C,50M,"November 12, 2021",,,,
GrabWheels,https://,1,1,30M,Series A,30M,"February 13, 2020",,,,
Element Science,https://elementscience.com,6,4,192.6M,Series C,145.6M,"March 3, 2020",,,,
SoundBite Medical Solutions,https://soundbitemedical.com,3,2,19.64M,Series A - II,4.01M,"June 13, 2018",,,,
Coutloot,https://coutloot.com,14,8,34.04M,Series A - III,8M,"September 9, 2021",,,,
Front,https://front.com,48,7,203.62M,Series D,65M,"June 28, 2022",$859M,January 2020,,
Demex,https://demex.fr,2,1,3.55M,Growth Equity,3.55M,"September 28, 2009",,,,
Here,https://here.io,23,14,91.63M,Incubator/Accelerator - II,,"January 10, 2024",,,,
Kinetic,https://wearkinetic.com,14,12,17.99M,Debt,3M,"November 11, 2020",$40M,November 2020,,
Axiom,https://axiom.co,6,3,14.89M,Unattributed,7.89M,"August 26, 2020",,,,
Sympl,https://sympl.be,5,1,1.23M,Seed VC,1.23M,"June 21, 2017",,,,
ProteinQure,https://proteinqure.com,9,4,4.52M,Loan,0.52M,"February 22, 2024",,,,
Pepper Content,https://peppercontent.io,27,5,18.81M,Incubator/Accelerator,,"December 9, 2023",$17.62M,June 2022,,
Redwood Materials,https://redwoodmaterials.com,17,9,3.991B,Series D,"1,000M","August 29, 2023","$3,700M",July 2021,,
The Nudge,https://nudgetext.com,3,4,13.44M,Series A,8M,"September 21, 2022",,,,
Obi,https://rideobi.com,2,2,1.79M,Unattributed,1.44M,"April 29, 2020",,,,
Ivy,https://getivy.io,13,2,27.69M,Series A,20M,"August 31, 2023",,,,
VSORA,https://vsora.com,4,3,19.7M,Incubator/Accelerator,13.8M,"October 30, 2023",,,,
iAdvize,https://iadvize.com,10,5,54.5M,Grant,,"May 3, 2018",,,,
Onfleet,https://onfleet.com,14,9,44.08M,Series B,23M,"June 7, 2022",,,,
RYDE,https://rydeapp.io,1,,,Acquired,,"September 2, 2019",,,,
Biofire,https://biofire.io,13,6,31.21M,Series A,14M,"November 7, 2022",,,,
Acodis,https://acodis.co.kr,1,,,Other Investors,,,,,,
Paccurate,https://paccurate.io,9,4,5.7M,Seed VC - II,3.5M,"August 11, 2023",,,,
Modo Energy,https://modo.energy,4,2,18.87M,Series A,15M,"November 29, 2023",,,,
Tactile Mobility,https://tactilemobility.com,12,5,36M,Series C,27M,"October 27, 2021",,,,
Unseenlabs,https://unseenlabs.space,12,6,125.37M,Debt,27.76M,"February 27, 2024",,,,
Medusa,https://medusajs.com,6,2,8M,Seed VC,8M,"July 15, 2022",,,,
Bonfyre,https://bonfyreapp.com,5,8,10.67M,Series B,0.67M,"July 21, 2021",,,,
Smartpath,https://smartpath.com.au,7,3,5.2M,Acquired,,"March 8, 2004",,,,
ABL Space Systems,https://ablspacesystems.com,10,8,544.15M,Loan,20M,"May 1, 2024","$2,400M",October 2021,,
Wagmo,https://wagmo.io,14,8,24.5M,Series B - II,,"January 18, 2024",,,,
DASH,https://gablesmavens.com,1,,,Acquired,,"July 19, 2018",,,,
FlapKap,https://flapkap.com,7,4,38.8M,Debt,34M,"September 9, 2024",,,,
Gumroad,https://gumroad.com,11,6,16.46M,Convertible Note,2.14M,"February 29, 2024",$100M,March 2021,,
Cobalt,https://cobaltdl.com,6,,,Acquired,,"December 15, 2022",,,,
Redox,https://redox.com,,,,IPO,,"July 3, 2023",,,,
Botsync,https://botsync.co,18,6,5.27M,Series A,5.2M,"June 5, 2024",,,,
Stripe,https://stripe.com,57,31,10.095B,Valuation Change - III,,"July 15, 2024","$65,000M",February 2024,,
Trexo Robotics,https://trexorobotics.com,5,6,720K,Incubator/Accelerator,,"June 17, 2024",,,,
Igentify,https://igentify.com,3,2,10.5M,Series A,10.5M,"September 17, 2019",,,,
Remofirst,https://remofirst.com,5,3,39.38M,Series A,25M,"March 6, 2024",$40M,February 2022,,
Wonolo,https://wonolo.com,18,8,194.42M,Series D,138M,"October 19, 2021",,,,
BitOasis,https://bitoasis.net,16,8,30M,Acquired,,"July 3, 2024",,,,
Lindus Health,https://lindushealth.com,19,4,23.54M,Series A,18M,"August 16, 2023",$22.5M,November 2021,,
Cytora,https://cytora.com,18,9,41.43M,Incubator/Accelerator - III,,"March 17, 2020",,,,
Qualio,https://qualio.com,8,4,63.71M,Series B,50M,"May 25, 2021",,,2021,10M
Bud,https://thisisbud.com,16,11,102.18M,Unattributed VC,,"July 1, 2024",,,,
ModernLoop,https://modernloop.io,6,3,12.43M,Series A,9M,"August 23, 2022",,,,
RevComm,https://revcomm.co.jp,26,8,17.39M,Debt,,"July 19, 2024",,,,
Cleyrop,https://cleyrop.com,5,3,15.63M,Series A,10.76M,"June 2, 2023",,,,
Shifted Energy,https://shiftedenergy.com,11,8,5.2M,Seed VC - II,4.3M,"March 6, 2023",,,,
Datarade,https://datarade.ai,2,2,1.23M,Seed VC,1.11M,"November 19, 2019",,,,
Datumate,https://datumate.com,4,3,8.07M,Grant,0.07M,"January 28, 2019",,,,
Telgani,https://telgani.com,7,4,8.55M,Series A,6M,"February 15, 2023",,,,
Agrofy,https://agrofy.com.ar,13,6,66M,Series C,30M,"December 16, 2021",,,,
Hinge Health,https://hingehealth.com,13,10,853.85M,Secondary Market,200M,"October 28, 2021","$6,200M",October 2021,,
Hyperproof,https://hyperproof.io,4,6,66.75M,Series B,40M,"August 30, 2023",$74M,October 2021,,
Deep Blue Medical Advances,https://deepbluemedical.com,5,13,15.9M,Series A - II,7.03M,"June 28, 2022",,,,
DeepHow,https://deephow.com,9,5,23.12M,Incubator/Accelerator - II,,"May 17, 2023",,,,
AgroSmart,https://agrosmart.com.br,13,11,9.45M,Incubator/Accelerator - III,,"July 1, 2022",,,,
Topi,https://topi.com,1,,,Acquired,,"December 22, 2020",,,,
Wazoku,https://wazoku.com,12,9,20.45M,Series B,9.05M,"September 28, 2022",,,,
Electra,https://go-electra.com,21,6,551.6M,Series B,332.79M,"January 15, 2024",,,,
Forward Networks,https://forwardnetworks.com,10,5,112.92M,Series D,50M,"January 24, 2023",,,,
Fulcrum,https://thefulcrum.io,1,1,3.4M,Seed,3.4M,"May 22, 2017",,,,
Curri,https://curri.com,6,5,51.05M,Series B,42M,"June 6, 2023",,,,
Cloudbeds,https://cloudbeds.com,16,5,244.94M,Series D,150M,"November 3, 2021",,,2021,30M
Relyance AI,https://relyance.ai,5,3,62.1M,Series B,32.1M,"October 10, 2024",,,,
BioFishency,https://biofishency.com,4,2,2.4M,Grant,,"January 25, 2022",,,,
CropX,https://cropx.com,22,10,50.5M,Series C - II,,"October 6, 2023",,,,
groundcover,https://groundcover.com,4,2,24.5M,Series A,20M,"September 14, 2022",,,,
Continuum AG,https://continuum.ag,7,8,2.57M,Seed - II,1.77M,"May 30, 2023",,,,
Syncari,https://syncari.com,7,3,23.8M,Series A,17.3M,"May 18, 2021",,,,
Tempo Therapeutics,https://tempothera.com,4,4,16.87M,Series A,12.03M,"March 15, 2024",,,,
LawTrades,https://lawtrades.com,6,5,2M,Unattributed VC,,"November 16, 2021",,,,
Teraki,https://teraki.com,13,7,16.38M,Series A,11M,"December 17, 2019",,,,
Penny,https://penny.co,11,3,6.35M,Seed VC - III,,"April 15, 2024",,,,
Umiami,https://umiami.com,14,5,67.45M,Series A - II,34.01M,"October 3, 2023",,,,
EBANX,https://ebanx.com,3,3,460M,Series C,430M,"June 15, 2021","$1,000M",October 2019,,
Fringe,https://fringe.market,2,,,Seed VC,,"June 10, 2022",,,,
Firstleaf,https://firstleaf.com,3,,,Series A,,"January 1, 2018",,,,
Otrium,https://otrium.nl,9,6,155.92M,Series C,120M,"March 31, 2021",,,,
Shipper,https://shipper.id,15,9,138.4M,Unattributed,43.75M,"April 7, 2022",,,,
AstrumU,https://astrumu.com,8,4,10.63M,Series A,7.65M,"July 28, 2020",,,,
NanoCellect Biomedical,https://nanocellect.com,12,13,85.42M,Series E,28.93M,"June 29, 2023",,,,
Unlock,https://unlock-protocol.com,12,2,5.67M,Seed VC,4M,"September 28, 2021",,,,
Frizata,https://frizata.com,8,2,7.9M,Series A - II,2.9M,"June 1, 2022",,,,
Census,https://getcensus.com,10,3,80.3M,Series B,60M,"February 9, 2022",,,,
Yousign,https://yousign.com,6,4,40.28M,Unattributed,,"September 23, 2024",,,,
ForSight Robotics,https://forsightrobotics.com,7,2,65.4M,Series A,55M,"July 18, 2022",,,,
YouTrip,https://you.co,2,3,105.5M,Series B,50M,"October 26, 2023",,,,
Quantum Surgical,https://quantumsurgical.com,4,4,93.01M,Loan,32.49M,"March 27, 2024",,,,
Lili,https://itslili.com,1,,,Seed VC,,"January 1, 2020",,,,
Koda Health,https://kodahealthcare.com,11,6,3.9M,Seed VC - II,,"June 12, 2024",,,,
Hebbia,https://hebbia.ai,13,4,161.1M,Series B,130M,"May 14, 2024",,,,
AudioMob,https://audiomob.io,10,6,16.1M,Secondary Market,,"November 12, 2021",,,,
Veritas Finance,https://veritasfin.in,14,7,312.19M,Series F,146M,"July 5, 2023",,,,
Unaric,https://unaric.com,12,2,35M,Seed VC,10M,"June 28, 2023",,,,
Sprinto,https://sprinto.com,3,2,31.5M,Series B,20M,"April 9, 2024",$40.5M,January 2022,,
Landline Company,https://landlineco.com,4,5,73.67M,Series B - II,21.82M,"October 12, 2022",,,,
Boomy,https://boomy.com,7,5,21.6M,Series A,20M,"June 24, 2023",,,,
Kyoto Fusioneering,https://kyotofusioneering.com,29,9,106.86M,Series C - III,6.85M,"July 23, 2024",$55.3M,February 2022,,
Mistral AI,https://mistral.ai,37,7,1.188B,Series B,502.3M,"June 11, 2024","$2,000M",December 2023,,
Actility,https://actility.com,18,5,130.24M,Series E,17.24M,"December 7, 2023",,,,
Koyeb,https://koyeb.com,23,4,8.6M,Seed VC - III,7M,"November 2, 2023",,,,
Ellipse,https://ellipsebikes.com,1,,,Other Investors,,,,,,
DealShare,https://dealshare.in,20,11,391.52M,Series E - II,45M,"February 17, 2022","$1,620M",January 2022,,
Phase Genomics,https://phasegenomics.com,10,12,16.25M,Grant - VII,1.5M,"March 5, 2024",,,,
Castore,https://castore.com,12,7,283.3M,Unattributed VC,184M,"November 29, 2023",$863.23M,September 2022,2020,49.66M
Daloopa,https://daloopa.com,7,3,38M,Series B,18M,"May 7, 2024",,,,
Space and Time,https://spaceandtime.io,19,5,50.25M,Series A - II,20M,"June 25, 2024",$300M,September 2022,,
Goalsetter,https://goalsetter.co,49,14,39.68M,Series A - II,9.6M,"March 25, 2024",,,,
Flo Recruit,https://florecruit.com,6,3,7.53M,Seed VC,7.36M,"July 6, 2023",,,,
Liveblocks,https://liveblocks.io,4,2,5M,Seed VC,5M,"March 16, 2022",,,,
Freeda Media,https://freedamedia.com,10,4,29.04M,Line of Credit,3M,"September 9, 2019",,,,
Rhone,https://rhone.com,15,10,31.48M,Shareholder Liquidity,,"October 25, 2023",,,,
LARK,https://ourlark.com,1,3,100K,Series A - II,,"October 1, 2012",,,,
Autobahn Therapeutics,https://autobahntx.com,16,4,208.7M,Series C,100M,"July 24, 2024",,,,
MoooFarm,https://mooo.farm,9,4,16.12M,Series A,13M,"November 30, 2022",,,,
Exabeam,https://exabeam.com,11,7,487M,Secondary Market,,"July 1, 2021","$2,400M",June 2021,2018,50.5M
Helion Energy,https://helionenergy.com,6,6,547.11M,Corporate Minority,35M,"September 27, 2023",,,,
Soveren,https://soveren.io,15,3,10.1M,Seed VC - II,3.6M,"February 1, 2023",,,,
Pitch,https://pitch.com,17,5,137.88M,Series B,85M,"May 20, 2021",$200M,October 2019,,
Upway,https://upway.fr,8,3,60.7M,Series B,30M,"November 16, 2023",,,,
Limbic,https://limbic.ai,7,5,14.14M,Series A,14M,"March 5, 2024",$1.11M,March 2018,,
