name,website,investor_count,funding_count,funding_total,funding_last_type,funding_last,funding_last_date,valuation,valuation_date,revenue_year,revenue_total
Lentra,https://lentra.ai,8,6,177M,Incubator/Accelerator,,"August 8, 2024",$500M,November 2022,,
Arryved,https://arryved.com,3,6,27.35M,Series B,20M,"June 14, 2021",,,,
Life House,https://lifehousehotels.com,18,7,230M,Series C,60M,"December 2, 2021",,,,
Klaim,https://klaim.ai,9,6,7.72M,Seed VC - II,5M,"November 22, 2022",,,2021,2.9M
Pachama,https://pachama.com,48,9,88.25M,Series B - II,9M,"December 5, 2023",,,,
Guru,https://guru.com,12,5,65.1M,Unattributed VC,2.4M,"July 7, 2021",,,,
Sapient Industries,https://sapient.industries,6,7,22.3M,Incubator/Accelerator - III,,"April 25, 2024",,,,
7shifts,https://7shifts.com,17,10,121.86M,Series C,80M,"February 10, 2022",,,,
Flaviar,https://flaviar.com,9,8,14.67M,Loan,0.25M,"April 14, 2020",,,,
AnyRoad,https://anyroad.com,16,8,67M,Series B,47M,"February 24, 2022",,,,
SafeGraph,https://safegraph.com,21,5,61.68M,Series B,45M,"March 16, 2021",,,,
Typeform,https://typeform.com,15,6,187.26M,Series C,135M,"March 10, 2022",$300M,September 2017,,
ZStack,https://zstack.io,22,5,33.27M,Series C,,"April 11, 2023",,,,
SkySelect,https://,2,2,2.8M,Seed VC - II,2.8M,"August 14, 2018",,,,
QuiX Quantum,https://quixquantum.com,5,6,5.59M,Seed,,"July 15, 2024",,,,
Satori,https://satoricyber.com,7,5,25.25M,Incubator/Accelerator - III,,"May 16, 2024",,,,
Alembic,https://getalembic.com,9,6,23M,Option/Warrant - II,1.78M,"July 9, 2024",,,,
Sidecar Health,https://sidecarhealth.com,16,5,328M,Series D,165M,"June 26, 2024","$1,000M",January 2021,,
Imperia,https://imperia.net,3,5,2.49M,Acquired,,"January 1, 2005",,,,
Rose Rocket,https://roserocket.com,10,5,63.12M,Series B,38M,"June 20, 2023",,,,
Addi,https://addi.com,23,13,462.8M,Series D,36M,"March 20, 2024",$700M,December 2021,,
DataX,https://dataxltd.com,1,,,Acquired,,"July 16, 2018",,,,
Praxis,https://,1,1,3M,Private Equity,3M,"November 29, 2018",,,,
Mobly,https://mobly.com.br,4,3,13M,IPO,,"February 5, 2021",$108M,April 2013,,
Futurae,https://futurae.com,11,7,7.6M,Incubator/Accelerator - III,,"January 1, 2023",,,,
NFTfi,https://nftfi.com,20,4,11M,Series A - II,6M,"March 11, 2024",,,,
Mosaic Manufacturing,https://mosaicmfg.com,8,8,21.15M,Series A,20.53M,"June 1, 2024",,,,
Databox,https://data-box.com.cn,2,2,14.89M,Series A,14.89M,"April 8, 2019",,,,
Okteto,https://okteto.com,11,3,18.08M,Series A,15M,"January 28, 2022",,,,
Moove,https://moove.ie,1,1,280K,Angel,0.28M,"May 13, 2018",,,,
Flatfair,https://flatfair.co.uk,8,3,11M,Angel - II,,"January 1, 2022",,,,
Meru Health,https://meruhealth.com,18,10,58.02M,Grant,2M,"May 10, 2022",,,,
Edgeless Systems,https://edgeless.systems,14,7,6.73M,Seed VC - II,5M,"March 8, 2023",$75M,June 2021,,
Ternary,https://ternary.app,11,3,20.32M,Series A,12M,"October 23, 2023",,,,
Feals,https://feals.com,1,3,2.8M,Debt,2M,"June 4, 2020",,,,
Fleksy,https://fleksy.com,20,9,8.32M,Incubator/Accelerator,,"October 3, 2022",,,,
Vyrill,https://vyrill.com,11,9,3.02M,Seed VC - III,3M,"March 31, 2022",,,,
MyGlamm,https://myglamm.com,8,4,24.14M,Series C,24.14M,"March 18, 2021",,,,
